related_video,aid
2080782,1240008
2370297,1240008
2374293,1240008
2870238,1240008
2391543,1240008
2366565,1240008
2152078,1240008
2364712,1240008
1146325,1240008
1261017,1240008
1439157,1240008
2075777,1240008
1163315,1240008
2362067,1240008
2711144,1240008
2721759,1240008
44785485,1240008
1149054,1240008
1280124,1240008
1184925,1240008
45212039,1240008
44923121,1240008
2035146,1240008
31576431,1240008
32985516,1240008
40306886,1240008
1995173,1240008
34861106,1240008
31913170,1240008
38662549,1240008
35189804,1240008
31574020,1240008
46893942,1240008
1903267,1240008
40178969,1240008
1293138,1240008
41376323,1240008
34007350,1240008
34007381,1240008
31614120,1240008
40569858,1240000
375137482,1240000
594817271,1240000
86118373,1240000
890391625,1240000
92035341,1240000
511315959,1240000
759092524,1240000
588132953,1240000
33335956,1240000
92641923,1240000
210897566,1240000
758384797,1240000
1299065,1240000
76111360,1240000
371127631,1240000
94290355,1240000
63414998,1240000
511539351,1240000
795711172,1240000
23597045,1240000
242654676,1240000
12864471,1240000
729729626,1240000
250881421,1240000
857287376,1240000
73532978,1240000
2154212,1240000
627909267,1240000
88683067,1240000
853496901,1240000
673391527,1240000
200276821,1240000
499560541,1240000
978682495,1240000
769239148,1240000
336751206,1240000
431587554,1240000
33224170,1240000
837869091,1240000
2232741,1240006
759003,1240006
1488758,1240006
7822639,1240006
623999,1240006
23925173,1240006
663282,1240006
563754,1240006
923470,1240006
8007250,1240006
76965974,1240006
7082586,1240006
2252211,1240006
37227742,1240006
6365060,1240006
1175882,1240006
2039130,1240006
1930384,1240006
2690255,1240006
1372617,1240006
19571904,1240006
76193635,1240006
23492741,1240006
21831072,1240006
3527084,1240006
1406221,1240006
71925866,1240006
262514802,1240006
5208169,1240006
69326057,1240006
84108395,1240006
689988257,1240006
3125889,1240006
80777934,1240006
17150004,1240006
752570570,1240006
882622023,1240006
518242491,1240006
1132701,1240006
443886,1240006
16949909,1240004
674626560,1240004
82310246,1240004
60401821,1240004
14011743,1240004
637185074,1240004
885195046,1240004
87086924,1240004
372649241,1240004
