rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
15209129,1240008,1,102748,0,0,0,0,0,8,0,0,0,1404102673,0,0,"{'message': '好好玩的样子0 0', 'plat': 0, 'device': ''}",,0,False,1240008
15199925,1240008,1,838891,0,0,0,0,0,7,0,0,0,1404053805,0,0,"{'message': 'ε=ε=(ノ≧∇≦)ノ过来用硬币砸死守夜大大', 'plat': 0, 'device': ''}",,0,False,1240008
15192586,1240008,1,117117,0,0,0,0,0,6,0,0,0,1404040064,0,0,"{'message': '硬币已砸~做的越来越精彩越来越好看', 'plat': 0, 'device': ''}",,0,False,1240008
97182288816,1240000,1,473763634,0,0,0,0,0,4,0,0,0,1641088434,0,0,"{'message': '考古', 'plat': 0, 'device': ''}",,0,False,1240000
17215847,1240000,1,3734523,0,0,0,0,0,3,0,0,0,1407989014,0,0,"{'message': '同上', 'plat': 0, 'device': ''}",,0,False,1240000
15312110,1240000,1,1799973,0,0,0,0,0,2,0,0,0,1404391713,0,0,"{'message': 'av1239999过来的', 'plat': 0, 'device': ''}",,0,False,1240000
15199125,1240006,1,4111435,0,0,0,0,0,9,0,0,0,1404052321,1,0,"{'message': '一把左轮枪书写的浪漫。', 'plat': 0, 'device': ''}",,0,False,1240006
15349352,1240006,1,798565,0,0,0,0,0,17,0,0,0,1404477650,0,0,"{'message': '血槽求共享', 'plat': 0, 'device': ''}",,0,False,1240006
15277120,1240006,1,1354441,0,0,0,1,1,16,0,0,0,1404302709,0,0,"{'message': '最后那张图是怎么回事Σ(ﾟдﾟ;)（注意节操啊喂）', 'plat': 0, 'device': ''}",,0,False,1240006
343718077,1240004,1,18560833,0,0,0,0,0,6,0,0,0,1500657764,1,0,"{'message': '挖坟抱歉', 'plat': 0, 'device': ''}",,0,False,1240004
15282767,1240004,1,1515248,0,0,0,1,1,3,0,0,0,1404312052,1,0,"{'message': '求66分钟的BGM名', 'plat': 0, 'device': ''}",,0,False,1240004
92254955,1240004,1,24379335,0,0,0,0,0,4,0,0,0,1459426832,0,0,"{'message': '看不了啊！求发 2519810541@qq.com', 'plat': 0, 'device': ''}",,0,False,1240004
225432627,1240015,1,93894468,0,0,0,0,0,2,0,0,0,1490695391,1,0,"{'message': '果斷投幣!!', 'plat': 0, 'device': ''}",,0,False,1240015
15847367,1240015,1,1633865,0,0,0,0,0,1,0,0,0,1405509754,0,0,"{'message': '跪求下载地址！', 'plat': 0, 'device': ''}",,0,False,1240015
15188490,1240018,1,2012205,0,0,0,0,0,1,0,0,0,1404031740,0,0,"{'message': 'UP上传之前没先自己看一遍么 这BGM真惊悚…… 解说呢？', 'plat': 0, 'device': ''}",,0,False,1240018
141872366,1240027,1,40747864,0,0,0,0,0,2,0,0,0,1473506870,0,0,"{'message': '第二个，还没摸索好', 'plat': 0, 'device': ''}",,0,False,1240027
15195874,1240027,1,2924168,0,0,0,0,0,1,0,0,0,1404046421,0,0,"{'message': '第一！！', 'plat': 0, 'device': ''}",,0,False,1240027
1128320078,1240033,1,1542259,0,0,0,0,0,5,0,0,0,1539537517,0,0,"{'message': '两枚硬币奉上(=・ω・=)', 'plat': 0, 'device': ''}",,0,False,1240033
15282719,1240033,1,702168,0,0,0,1,1,4,0,0,0,1404311980,0,0,"{'message': '求第一首BGM~', 'plat': 0, 'device': ''}",,0,False,1240033
15267866,1240033,1,215773,0,0,0,1,1,3,0,0,0,1404284989,0,0,"{'message': '高玩！！', 'plat': 0, 'device': ''}",,0,False,1240033
26243865,1240037,1,518363,0,0,0,0,0,10,0,0,0,1425042297,2,0,"{'message': '_(:3」∠)_刨坟！', 'plat': 0, 'device': ''}",,0,False,1240037
109012812176,1240037,1,470231094,0,0,0,1,1,17,0,0,512,1649771075,1,0,"{'message': '时隔八年再次刷到这个视频[惊讶]', 'plat': 0, 'device': ''}",,0,False,1240037
964593224,1240037,1,9149582,0,0,0,0,0,16,0,0,0,1533466708,1,0,"{'message': '就是看这个入的RWBY坑的（｡ò ∀ ó｡）', 'plat': 0, 'device': ''}",,0,False,1240037
1014668066,1240038,1,46796650,0,0,0,0,0,2,0,0,0,1534860028,0,0,"{'message': '二楼，甘霖狼', 'plat': 0, 'device': ''}",,0,False,1240038
71245796,1240038,1,11077592,0,0,0,0,0,1,0,0,0,1449399972,0,0,"{'message': '镜中有亮点', 'plat': 0, 'device': ''}",,0,False,1240038
15450864,1240034,1,4373975,0,0,0,1,0,1,0,0,0,1404709959,2,0,"{'message': '阿婆主好赞！', 'plat': 0, 'device': ''}",,0,False,1240034
114117521,1240034,1,34187177,0,0,0,0,0,3,0,0,0,1467728966,1,0,"{'message': '好棒(=・ω・=)赞赞', 'plat': 0, 'device': ''}",,0,False,1240034
2621603419,1240034,1,5234589,0,0,0,1,1,5,0,0,512,1585556311,0,0,"{'message': '爱你哦[爱心]', 'plat': 0, 'device': ''}",,0,False,1240034
18908912,1240048,1,4369721,0,0,0,0,0,1,0,0,0,1410968022,1,0,"{'message': '（￣▽￣）最后表示化妆的最高境界是变脸吗？', 'plat': 0, 'device': ''}",,0,False,1240048
18482708,1240043,1,4313144,0,0,0,1,1,2,0,0,0,1410079672,1,0,"{'message': '开头大祭司是接电话呢····', 'plat': 0, 'device': ''}",,0,False,1240043
45343685,1240043,1,2439739,0,0,0,2,2,3,0,0,0,1445696064,0,0,"{'message': 'up主做的好用心', 'plat': 0, 'device': ''}",,0,False,1240043
