tag_id,tag_name,cover,head_cover,content,short_content,type,state,ctime,count,is_atten,likes,hates,attribute,liked,hated,extra_attr,music_id,tag_type,is_activity,color,alpha,is_season,subscribed_count,archive_count,featured_count,jump_url,aid
69053,星级争霸2,,,,,3,0,1436866637,"{'view': 0, 'use': 5546, 'atten': 65}",0,0,0,0,0,0,0,,old_channel,False,,0,False,65,-,0,,1240008
536,原创,,,1,,3,0,1436866637,"{'view': 0, 'use': 16407718, 'atten': 239592}",0,0,0,0,0,0,0,,old_channel,False,,0,False,239592,-,0,,1240008
699789,新ED上线,,,,,0,0,1436866637,"{'view': 0, 'use': 1, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240008
657982,干死杨梅！,,,,,0,0,1436866637,"{'view': 0, 'use': 6, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240008
597519,用脚打星际,,,,,0,0,1436866637,"{'view': 0, 'use': 4, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240008
5033,DNF,http://i0.hdslb.com/bfs/archive/d18e185495d229110dbdc1f936ca7f1e488f0af3.jpg,http://i0.hdslb.com/bfs/archive/0796c56d8e19aa977d4071744fae05dee1545b7b.jpg,地下城与勇士是一款2D卷轴式横版格斗过关网络游戏，大量继承了众多家用机、街机2D格斗游戏的特色。,,3,0,1436866637,"{'view': 0, 'use': 2658295, 'atten': 246889}",0,0,0,0,0,0,0,,new_channel,False,#795136,60,False,246889,128.1万,1103,,1240000
673152,实况攻略,http://i0.hdslb.com/bfs/archive/07068dad9763fcd3df5d2483b629fe843f067e9e.jpg,http://i0.hdslb.com/bfs/archive/3d062e10b66f1a120600bb340c8eeac01ff4bc1f.jpg,游戏实况与攻略视频,,3,0,1436866637,"{'view': 0, 'use': 40086, 'atten': 25420}",0,0,0,0,0,0,0,,old_channel,False,,0,False,25420,-,0,,1240000
44367,网络游戏,http://i0.hdslb.com/bfs/archive/9714ceefa3d81882cc49e1d4fadf8258aa5ad5d0.jpg,http://i0.hdslb.com/bfs/archive/dcecc9df4e3f8f7debcdd2cbdd7473c72aa75899.png,由网络运营商运营的多人在线游戏，以及电子竞技的相关游戏内容，包括赛事、攻略，实况、解说、短剧等视频。,,3,0,1436866637,"{'view': 0, 'use': 11319570, 'atten': 104431}",0,0,0,0,0,0,0,,old_channel,False,,0,False,104431,-,0,,1240000
1939,漫游,,,,,3,0,1436866637,"{'view': 0, 'use': 16281, 'atten': 347}",0,0,0,0,0,0,0,,old_channel,False,,0,False,347,-,0,,1240000
7160,实况解说,http://i0.hdslb.com/bfs/tag/36955b7e83ff9f5053cf23bd870d720a598c53aa.jpg,,,,3,0,1436866637,"{'view': 0, 'use': 2788253, 'atten': 26054}",0,0,0,0,0,0,0,,old_channel,False,,0,False,26054,-,0,,1240000
