View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1490889,1,vupload,,864,,,636,360,0,1030007
1490890,1,vupload,,1245,,,960,720,0,1030008
1490888,1,vupload,,119,,,638,360,0,1030006
1490877,1,vupload,,78,,,640,360,0,1030000
1490881,1,vupload,1p,3576,,,810,608,0,1030004
1490882,2,vupload,日本经典纯音乐12首,2690,,,640,360,0,1030004
1490883,3,vupload,日本经典纯音乐10首,2166,,,480,360,0,1030004
1490884,4,vupload,权威向第一,269,,,480,360,0,1030004
1490885,5,vupload,全名向第一,318,,,450,360,0,1030004
1490886,6,vupload,日本销量第一,245,,,320,320,0,1030004
1490879,1,vupload,,606,,,640,360,0,1030002
1490880,1,vupload,,881,,,480,360,0,1030003
1490902,1,vupload,,522,,,640,358,0,1030016
1490895,1,vupload,,797,,,638,360,0,1030010
1490901,1,vupload,,216,,,640,360,0,1030015
1490908,1,vupload,,147,,,640,360,0,1030021
1490914,1,vupload,,2246,,,638,360,0,1030028
1490913,1,vupload,,0,,,1104,622,0,1030027
1490910,1,vupload,,0,,,512,288,0,1030023
1490923,1,vupload,,1846,,,0,0,0,1030038
1490922,1,vupload,,533,,,638,360,0,1030037
1490918,1,vupload,,15,,,640,360,0,1030033
1490916,1,vupload,,109,,,640,360,0,1030030
1490917,1,vupload,,8202,,,448,336,0,1030032
1490919,1,vupload,,598,,,1104,622,0,1030034
1490928,1,vupload,,1148,,,638,360,0,1030042
1528308,1,vupload,,187,,,640,360,0,1030044
1490927,1,vupload,,1741,,,448,336,0,1030041
1490926,1,vupload,,0,,,1104,622,0,1030040
1490362,1,vupload,,281,,,640,360,0,1030054
1490939,1,vupload,行动篇,190,,,512,288,0,1030053
1492453,2,vupload, 时间轴预告  ,28,,,638,360,0,1030053
1490941,1,vupload,,297,,,640,360,0,1030056
1490937,1,vupload,01 - in the garden of sinners,138,,,1280,648,0,1030051
1491657,2,vupload, 02 - 俯瞰風景 - Thanatos,801,,,1280,648,0,1030051
1491664,3,vupload,03 - 殺人考察 (前) I - something and nothing,649,,,1280,648,0,1030051
1491681,4,vupload,04 - 殺人考察 (前) Ⅱ - quiet romance,146,,,1280,648,0,1030051
1491667,5,vupload,05 - 殺人考察 (前) Ⅲ - rain goes up,101,,,1280,648,0,1030051
1491682,6,vupload,06 - 痛覚残留 - if I cry,1022,,,1280,648,0,1030051
1491690,7,vupload,07 - 伽藍の洞 I - garan-no-dou_SP,538,,,1280,648,0,1030051
1491691,8,vupload,08 - 伽藍の洞 Ⅱ - kyoukai-shiki          ,59,,,1280,648,0,1030051
1491692,9,vupload, 09 - 矛盾螺旋 I - magician         ,187,,,1280,648,0,1030051
1491693,10,vupload,10 - 矛盾螺旋 Ⅱ - paradox          ,629,,,1280,648,0,1030051
1491694,11,vupload,11 - 矛盾螺旋 Ⅲ - spiral          ,802,,,1280,648,0,1030051
1491695,12,vupload,    12 - 矛盾螺旋 Ⅳ - paradigm      ,298,,,1280,648,0,1030051
1491696,13,vupload,  13 - 忘却録音 - when the fairy tale ends        ,917,,,1280,648,0,1030051
1491697,14,vupload,"14 - 殺人考察 (後) I - everything, not nothing          ",601,,,1280,648,0,1030051
1491698,15,vupload, 15 - 殺人考察 (後) Ⅱ - into the light         ,436,,,1280,648,0,1030051
1491699,16,vupload,  16 - 殺人考察 (後) Ⅲ - epilogue        ,121,,,1280,648,0,1030051
1491700,17,vupload,   17 - 空の境界 I - kara-no-kyoukai      ,478,,,1280,648,0,1030051
1491701,18,vupload,   18 - 空の境界 Ⅱ - snow is falling       ,227,,,1280,648,0,1030051
1490953,1,vupload,,196,,,480,360,0,1030066
1490952,1,vupload,,2665,,,480,320,0,1030065
1490950,1,vupload,,1188,,,600,360,0,1030063
1490947,1,vupload,,240,,,512,288,0,1030060
1490975,1,vupload,,2604,,,576,360,0,1030076
1490969,1,vupload,1,527,,,540,360,0,1030075
1490970,2,vupload,2,372,,,432,288,0,1030075
1490971,3,vupload,3,316,,,540,360,0,1030075
1490972,4,vupload,4,489,,,540,360,0,1030075
1490973,5,vupload,5,498,,,540,360,0,1030075
1490974,6,vupload,6,484,,,432,288,0,1030075
1490976,1,vupload,,179,,,640,360,0,1030077
1490966,1,vupload, 3月25日德鲁伊 橙卡满天飞,7707,,,512,288,0,1030072
1544209,1,vupload,,244,,,640,360,0,1030083
1490982,1,vupload,德莱文版,87,,,640,360,0,1030082
1488047,2,vupload,正常版,94,,,640,360,0,1030082
1490981,1,vupload,,164,,,640,360,0,1030081
1490980,1,vupload,48,537,,,640,360,0,1030080
1490987,1,vupload,悪女,238,,,854,480,0,1030086
1490988,2,vupload,届かない恋,302,,,854,480,0,1030086
1491951,3,vupload,White Album ,277,,,854,480,0,1030086
