rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
40848178,1040007,1,13422833,0,0,0,0,0,4,0,0,0,1441688866,0,0,"{'message': '***\n', 'plat': 0, 'device': ''}",,0,False,1040007
40053392,1040007,1,1717399,0,0,0,0,0,3,0,0,0,1441001144,0,0,"{'message': '为什么我看到参数错( &gt;﹏&lt;。）', 'plat': 0, 'device': ''}",,0,False,1040007
12601254,1040007,1,740230,0,0,0,0,0,2,0,0,0,1396502686,0,0,"{'message': '当喵星人看到…………的反应', 'plat': 0, 'device': ''}",,0,False,1040007
12585645,1040004,1,381299,0,0,0,0,0,1,0,0,0,1396431776,2,0,"{'message': '下载:百度网盘\n链接：http://pan.baidu.com/s/1mg4ZcqW 密码：k0q6\n大小:90.8M\n前天拍的今天就发，太优秀了(心花怒放)！', 'plat': 0, 'device': ''}",,0,False,1040004
385126282,1040004,1,19362612,0,0,0,0,0,4,0,0,0,1503235251,1,0,"{'message': '进……进度条又傲娇了', 'plat': 0, 'device': ''}",,0,False,1040004
12646083,1040004,1,196003,0,0,0,0,0,3,0,0,0,1396666096,0,0,"{'message': '杏子好久不见！！！', 'plat': 0, 'device': ''}",,0,False,1040004
47748045,1040011,1,5854770,0,0,0,0,0,13,0,0,0,1447762467,22,0,"{'message': '键盘吉他手真是吹毛求疵，自己弹一弹就知道有多难了，还一个劲在弹幕里说UP不稳', 'plat': 0, 'device': ''}",,0,False,1040011
399592741,1040011,1,1628007,0,0,0,1,1,20,0,0,0,1504055883,6,0,"{'message': 'up主也就几个小节有瑕疵了点 而弹幕吉他手说up主大段大段的不稳 附带冷嘲热讽的 有点怀疑他们是不是只会用键盘弹琴', 'plat': 0, 'device': ''}",,0,False,1040011
139517398,1040011,1,13286634,0,0,0,2,1,16,0,0,0,1472838278,3,0,"{'message': '卧槽6年能弹成这样了(´･_･`)我只求10年后能有7成水平', 'plat': 0, 'device': ''}",,0,False,1040011
1997838765,1040014,1,9107098,0,0,0,0,0,4,0,0,0,1569933445,0,0,"{'message': 'UP还在看bilibili吗？', 'plat': 0, 'device': ''}",,0,False,1040014
12588781,1040014,1,50957,0,0,0,0,0,3,0,0,0,1396439846,0,0,"{'message': '三味线、、、', 'plat': 0, 'device': ''}",,0,False,1040014
12588740,1040014,1,50957,0,0,0,0,0,2,0,0,0,1396439757,0,0,"{'message': '丧坤，大B', 'plat': 0, 'device': ''}",,0,False,1040014
98633922,1040010,1,12774818,0,0,0,0,0,5,0,0,0,1462118430,282,0,"{'message': '哈牛好萌，话说真的好佩服日本媒体的资源存储量啊', 'plat': 0, 'device': ''}",,0,False,1040010
174031749,1040010,1,4323134,0,0,0,0,0,8,0,0,0,1481941529,125,0,"{'message': '羽生那么小的时候就有镜头一直对着他啦，辛苦啦不过谢谢！！！', 'plat': 0, 'device': ''}",,0,False,1040010
