account,count,num,size,aid
2,2,1,3,1100008
83,64,1,3,1100000
2,2,1,3,1100006
0,0,1,3,1100005
4,2,1,3,1100012
0,0,1,3,1100015
1,1,1,3,1100013
4,4,1,3,1100017
0,0,1,3,1100023
4,2,1,3,1100027
53,30,1,3,1100037
8,10,1,3,1100031
2,2,1,3,1100047
3,3,1,3,1100068
8,6,1,3,1100067
4,3,1,3,1100063
1,1,1,3,1100071
13,11,1,3,1100076
3,3,1,3,1100074
13,7,1,3,1100083
38,17,1,3,1100081
51,42,1,3,1100088
14,15,1,3,1100092
3,3,1,3,1100097
19,18,1,3,1100094
211,183,1,3,1100096
0,0,1,3,1100107
1,1,1,3,1100105
1,1,1,3,1100115
45,43,1,3,1100118
14,13,1,3,1100110
6,3,1,3,1100123
36,29,1,3,1100125
1,1,1,3,1100122
0,0,1,3,1100121
1,1,1,3,1100127
0,0,1,3,1100135
38,34,1,3,1100130
57,34,1,3,1100133
89,77,1,3,1100134
0,0,1,3,1100131
20,6,1,3,1100137
0,0,1,3,1100148
39,17,1,3,1100142
12,11,1,3,1100146
29,27,1,3,1100141
42,41,1,3,1100145
685,351,1,3,1100147
6,5,1,3,1100154
0,0,1,3,1100158
7,3,1,3,1100161
10,8,1,3,1100160
0,0,1,3,1100174
13,3,1,3,1100186
13,8,1,3,1100184
4,3,1,3,1100181
4,2,1,3,1100197
4,2,1,3,1100195
153,150,1,3,1100194
18,13,1,3,1100190
7,5,1,3,1100198
31,12,1,3,1100202
9,8,1,3,1100200
9,8,1,3,1100208
0,0,1,3,1100210
1,1,1,3,1100215
4,3,1,3,1100224
3,2,1,3,1100225
17,12,1,3,1100228
15,16,1,3,1100226
0,0,1,3,1100237
4,4,1,3,1100240
1,1,1,3,1100245
75,71,1,3,1100244
0,0,1,3,1100242
16,16,1,3,1100256
0,0,1,3,1100253
3,3,1,3,1100258
1,1,1,3,1100263
29,26,1,3,1100266
5,5,1,3,1100264
3,2,1,3,1100276
7,6,1,3,1100274
2,2,1,3,1100278
0,0,1,3,1100286
18,17,1,3,1100297
10,9,1,3,1100295
3,3,1,3,1100308
2,1,1,3,1100303
0,0,1,3,1100317
19,20,1,3,1100313
6,5,1,3,1100310
0,0,1,3,1100322
0,0,1,3,1100323
1,1,1,3,1100326
5,5,1,3,1100338
11,10,1,3,1100332
2,2,1,3,1100337
4,3,1,3,1100343
2,2,1,3,1100348
2,2,1,3,1100351
0,0,1,3,1100355
23,16,1,3,1100368
7,7,1,3,1100365
6,2,1,3,1100361
2,2,1,3,1100376
13,13,1,3,1100372
2,2,1,3,1100374
0,0,1,3,1100386
9,7,1,3,1100384
3,3,1,3,1100381
1,1,1,3,1100391
26,26,1,3,1100394
1,1,1,3,1100400
7,7,1,3,1100407
1,1,1,3,1100408
14,11,1,3,1100418
59,58,1,3,1100411
1,1,1,3,1100414
8,6,1,3,1100415
2,3,1,3,1100412
125,81,1,3,1100425
14,10,1,3,1100441
0,0,1,3,1100446
4,4,1,3,1100442
48,26,1,3,1100444
8,7,1,3,1100452
120,101,1,3,1100451
5,5,1,3,1100456
4,1,1,3,1100464
2,2,1,3,1100463
2,2,1,3,1100461
16,13,1,3,1100460
4,3,1,3,1100468
2,2,1,3,1100472
5,5,1,3,1100470
35,31,1,3,1100478
7,5,1,3,1100474
2,2,1,3,1100480
1,1,1,3,1100481
19,16,1,3,1100484
0,0,1,3,1100482
18,22,1,3,1100496
9,8,1,3,1100492
43,16,1,3,1100493
0,0,1,3,1100491
8,8,1,3,1100501
2,2,1,3,1100506
5,5,1,3,1100504
60,52,1,3,1100511
3,3,1,3,1100515
67,53,1,3,1100521
0,0,1,3,1100528
8,7,1,3,1100536
17,17,1,3,1100537
46,27,1,3,1100533
1,1,1,3,1100554
1,1,1,3,1100550
4,4,1,3,1100557
5,4,1,3,1100566
4,4,1,3,1100568
50,44,1,3,1100561
35,22,1,3,1100570
7,7,1,3,1100574
4,2,1,3,1100571
26,24,1,3,1100586
2,2,1,3,1100585
21,17,1,3,1100583
75,54,1,3,1100598
14,3,1,3,1100590
30,10,1,3,1100593
16,9,1,3,1100600
2,1,1,3,1100603
10,10,1,3,1100604
6,3,1,3,1100612
0,0,1,3,1100613
21,14,1,3,1100635
0,0,1,3,1100636
24,22,1,3,1100630
3,3,1,3,1100634
1,1,1,3,1100631
34,30,1,3,1100645
1,1,1,3,1100643
2,2,1,3,1100648
2,2,1,3,1100653
6,4,1,3,1100656
0,3,1,3,1100665
4,4,1,3,1100668
4,4,1,3,1100666
7,7,1,3,1100663
13,10,1,3,1100667
4,5,1,3,1100672
5,4,1,3,1100674
16,9,1,3,1100681
10,8,1,3,1100684
145,99,1,3,1100682
4,5,1,3,1100690
0,0,1,3,1100694
124,99,1,3,1100695
1,1,1,3,1100705
203,119,1,3,1100706
1,1,1,3,1100718
9,7,1,3,1100714
2,2,1,3,1100728
11,7,1,3,1100721
34,35,1,3,1100722
41,42,1,3,1100724
0,0,1,3,1100727
17,11,1,3,1100726
3,3,1,3,1100723
23,20,1,3,1100731
3,3,1,3,1100737
29,22,1,3,1100733
24,21,1,3,1100736
142,140,1,3,1100746
46,33,1,3,1100741
678,509,1,3,1100742
69,49,1,3,1100745
25,19,1,3,1100744
4,4,1,3,1100755
39,24,1,3,1100754
2,3,1,3,1100758
5,5,1,3,1100766
2,2,1,3,1100763
40,19,1,3,1100761
0,0,1,3,1100772
2,3,1,3,1100776
14,14,1,3,1100774
6,6,1,3,1100788
5,5,1,3,1100786
7,7,1,3,1100780
1,1,1,3,1100783
31,23,1,3,1100794
13,12,1,3,1100790
0,0,1,3,1100796
6,7,1,3,1100792
1,1,1,3,1100791
4,2,1,3,1100806
4,4,1,3,1100800
97,90,1,3,1100808
0,0,1,3,1100803
13,10,1,3,1100801
30,14,1,3,1100805
0,1,1,3,1100802
41,26,1,3,1100804
38,37,1,3,1100812
3,3,1,3,1100813
0,0,1,3,1100816
1,1,1,3,1100818
1,2,1,3,1100814
8,7,1,3,1100824
12,12,1,3,1100826
7,6,1,3,1100828
5,4,1,3,1100821
11,11,1,3,1100835
17,16,1,3,1100831
8,4,1,3,1100833
26,20,1,3,1100832
12,12,1,3,1100837
7,7,1,3,1100847
74,58,1,3,1100840
0,1,1,3,1100846
20,7,1,3,1100851
27,23,1,3,1100866
14,14,1,3,1100861
324,259,1,3,1100868
1,1,1,3,1100872
1,1,1,3,1100871
2,2,1,3,1100875
4,4,1,3,1100870
1,1,1,3,1100884
2,2,1,3,1100880
3,2,1,3,1100887
