related_video,aid
1204917,1200007
1381402,1200007
1123838,1200007
1123547,1200007
1214181,1200007
1194726,1200007
1207459,1200007
1123617,1200007
1207455,1200007
1239536,1200007
1210440,1200007
1367835,1200007
1366335,1200007
1237376,1200007
1366340,1200007
1249692,1200007
1420429,1200007
1396582,1200007
945817665,1200007
732790262,1200007
8338645,1200007
903018825,1200007
774866828,1200007
9950213,1200007
9750925,1200007
348246251,1200007
8338638,1200007
860229500,1200007
8492699,1200007
562770834,1200007
540666276,1200002
248629721,1200002
80287131,1200002
501791159,1200002
39074821,1200002
586850848,1200002
416823280,1200002
33248218,1200002
45884163,1200002
204357809,1200002
20918519,1200002
10710734,1200002
17111809,1200002
671803267,1200002
289274967,1200002
416768551,1200002
78075050,1200002
625260751,1200002
93002735,1200002
544320554,1200002
34152021,1200002
289352501,1200002
9984008,1200002
929316666,1200002
41885804,1200002
19673078,1200002
9338370,1200002
23367958,1200002
85863242,1200002
31087782,1200002
45458067,1200002
756846884,1200002
40954748,1200002
75468462,1200002
45263449,1200002
74307963,1200002
671800696,1200002
73891438,1200002
204403926,1200002
846015701,1200002
1118347,1200000
6986266,1200000
330407573,1200000
10757864,1200000
684580901,1200000
758694635,1200000
3015007,1200000
2182419,1200000
1219932,1200000
2595499,1200000
16735332,1200000
2958956,1200000
40000001,1200000
39400001,1200000
1000010,1200000
1612450,1200000
285294827,1200000
2000004,1200000
301890742,1200000
290454134,1200000
7928503,1200000
1129001,1200000
8108930,1200000
256909022,1200000
1000007,1200000
75612787,1200000
1010101,1200000
1005000,1200000
3884784,1200000
4550308,1200000
1173629,1200000
558887583,1200000
1039999,1200000
61077116,1200000
46469047,1200000
9582982,1200000
1100000,1200000
436526,1200000
1111111,1200000
553324565,1200000
457314846,1200001
24041286,1200001
297973311,1200001
31246947,1200001
12003223,1200001
19545204,1200001
556211619,1200001
6947103,1200001
12758459,1200001
2775154,1200001
16050227,1200001
85402437,1200001
1746199,1200001
52518319,1200001
54679717,1200001
42634169,1200001
2637408,1200001
1761644,1200001
1754242,1200001
18951495,1200001
10326490,1200001
1355529,1200001
33512142,1200001
1348968,1200001
17546378,1200001
2886916,1200001
556094934,1200001
11556050,1200001
49270081,1200001
14648321,1200001
29680588,1200001
11194473,1200001
1748762,1200001
29252400,1200001
674843208,1200001
23697170,1200001
26826977,1200001
625689844,1200001
27583652,1200001
25868994,1200001
305624668,1200008
559908434,1200008
690250444,1200008
775320980,1200008
520164478,1200008
562732237,1200008
219923852,1200008
860410582,1200008
987256260,1200008
475312126,1200008
818006463,1200008
220279186,1200008
520010677,1200008
563210050,1200008
563024943,1200008
27607810,1200008
305310245,1200008
817780095,1200008
390383583,1200008
100008,1200008
262637777,1200008
1998144,1200008
690599624,1200008
11120034,1200008
929922709,1200008
1831546,1200008
690856080,1200008
219955200,1200008
220742326,1200008
817607441,1200008
1712033,1200008
605549989,1200008
474817238,1200008
987920103,1200008
604861116,1200008
648072464,1200008
605317780,1200008
859504813,1200008
774658266,1200008
559753540,1200008
795332982,1200017
98745094,1200017
768325541,1200017
95292155,1200017
65570964,1200017
219882488,1200017
597210587,1200017
70696109,1200017
45073364,1200017
540062304,1200017
22215110,1200017
3026586,1200017
584852427,1200017
605023461,1200017
885042719,1200017
625664567,1200017
98169446,1200017
94653799,1200017
71302567,1200017
805256084,1200017
11756605,1200017
2452188,1200017
89648856,1200017
837732471,1200017
329842366,1200017
4521858,1200017
500229364,1200017
1926454,1200017
817721255,1200017
61642768,1200017
33803637,1200017
844264906,1200017
725925954,1200017
33973614,1200017
45054578,1200017
251765513,1200017
556377945,1200017
35662769,1200017
92802242,1200017
201903340,1200017
3638800,1200016
1016451,1200016
1172854,1200016
3271968,1200016
1130578,1200016
928087,1200016
1870349,1200016
1462790,1200016
15020935,1200016
18375499,1200016
83546433,1200016
1454555,1200016
46954502,1200016
2054923,1200016
1829460,1200016
1001352,1200016
3112031,1200016
55137563,1200016
1087569,1200016
2245069,1200016
966072,1200016
1568123,1200016
1005141,1200016
2740892,1200016
957440,1200016
979066,1200016
949016,1200016
4780105,1200016
85376639,1200016
1799362,1200016
962632,1200016
2712550,1200016
1121512,1200016
88003207,1200016
925347,1200016
41408422,1200016
18015125,1200016
500975659,1200016
11434066,1200016
880541,1200016
1580766,1200023
772812,1200023
582278,1200023
1559384,1200023
1059419,1200023
771898,1200023
1894470,1200023
579019,1200023
799686,1200023
1080664,1200023
1302984,1200023
839722,1200023
1142445,1200023
811069,1200023
766376,1200023
780404,1200023
768959,1200023
754667,1200023
1880533,1200023
1475427,1200023
838039,1200023
744693,1200023
32939126,1200023
1368305,1200023
809515,1200023
738561,1200023
762641,1200023
880825,1200023
1076587,1200023
1621069,1200023
1011162,1200023
950425,1200023
931660,1200023
5278229,1200023
2299091,1200023
883514,1200023
1040253,1200023
892154,1200023
1937329,1200023
2266406,1200023
24712614,1200032
11438455,1200032
25011082,1200032
371086494,1200032
545844364,1200032
626095671,1200032
11400805,1200032
34949924,1200032
422362914,1200032
25098655,1200032
206661191,1200032
214646015,1200032
43918407,1200032
52138430,1200032
668967606,1200032
626721449,1200032
244060774,1200032
46003072,1200032
711677880,1200032
64524364,1200032
1194025,1200034
370903632,1200034
335024425,1200034
795628631,1200034
1177488,1200034
499233532,1200034
22741186,1200034
33813379,1200034
1058201,1200034
459895037,1200034
683547177,1200034
667775224,1200034
839987806,1200034
1171514,1200034
24587833,1200034
22747322,1200034
884581213,1200034
29694570,1200034
16399310,1200034
883575422,1200034
667883775,1200034
885035641,1200034
80027422,1200034
796722760,1200034
17835784,1200034
207599436,1200034
374362930,1200030
1275165,1200030
370789127,1200030
22185986,1200030
2188197,1200030
17694531,1200030
1155408,1200030
2727297,1200030
22698538,1200030
1996506,1200030
415448885,1200030
1249914,1200030
4314553,1200030
1168707,1200030
2465142,1200030
1480969,1200030
1964592,1200030
582778722,1200030
1107885,1200030
1411506,1200030
4521116,1200030
26303660,1200030
1167672,1200030
3090413,1200030
907760,1200030
2043611,1200030
4189504,1200030
2638462,1200030
417556053,1200030
840197800,1200030
15586101,1200030
669622780,1200030
1300671,1200030
2021822,1200030
58973929,1200030
722514506,1200030
583417698,1200030
854714,1200030
1166062,1200030
2138004,1200030
10989544,1200044
1203817,1200044
11892444,1200044
1347684,1200044
18180470,1200044
14213801,1200044
57440969,1200044
1203073,1200044
1225923,1200044
626627130,1200044
19506913,1200044
37672761,1200044
1222382,1200044
85332077,1200044
1185524,1200044
10431524,1200044
18121701,1200044
925914451,1200044
727479478,1200044
31763712,1200044
16950636,1200044
840392644,1200044
18983911,1200044
37881538,1200044
32829445,1200044
25641332,1200044
21057746,1200044
336793464,1200044
24615247,1200044
995712,1200044
11299014,1200044
87305878,1200044
45633279,1200044
21363299,1200044
29150368,1200044
1208053,1200044
543755646,1200044
15737895,1200044
8641881,1200044
9709298,1200044
60048877,1200048
635716768,1200048
52012946,1200048
96831424,1200048
839653143,1200048
343966823,1200048
4648527,1200048
208287216,1200048
889911700,1200048
259725904,1200048
378629281,1200048
556190708,1200048
253477710,1200048
772775530,1200048
75096928,1200048
86747708,1200048
338368747,1200048
504752867,1200048
40280120,1200048
890932564,1200048
504488487,1200048
207723913,1200048
893430358,1200048
723868638,1200048
589309123,1200048
723930573,1200048
635801849,1200048
377194477,1200048
850574082,1200048
932523788,1200048
979812165,1200048
641195322,1200048
804323379,1200048
591837109,1200048
35392910,1200048
590184721,1200048
21351581,1200048
68957378,1200048
547941050,1200048
967718709,1200048
3233753,1200053
630600151,1200053
11486121,1200053
3196783,1200053
760741,1200053
544377,1200053
1450977,1200053
2571659,1200053
559208,1200053
1704494,1200053
1495615,1200053
20272168,1200053
459359,1200053
6501351,1200053
1934710,1200053
94063854,1200053
1539473,1200053
1707873,1200053
1992771,1200053
7804754,1200053
1879351,1200053
25886147,1200053
95116869,1200053
574222,1200053
2348452,1200053
5756354,1200053
519066,1200053
3159499,1200053
487520,1200053
2728610,1200053
1811909,1200053
474514,1200053
512900,1200053
73054763,1200053
667639,1200053
57020793,1200053
6148999,1200053
2417650,1200053
473992,1200053
14227149,1200053
92158029,1200058
855265954,1200058
57035194,1200058
1938301,1200058
1918296,1200058
505371138,1200058
541205511,1200058
8816201,1200058
59242180,1200058
590796425,1200058
795825226,1200058
47873374,1200058
77988754,1200058
1892223,1200058
1087612,1200058
4785418,1200058
2033870,1200058
5237560,1200058
80963702,1200058
3076040,1200058
3406371,1200058
669478685,1200058
46055559,1200058
53737700,1200058
51844423,1200058
49434105,1200058
2333511,1200058
13553458,1200058
46683440,1200058
44165303,1200058
500724679,1200058
32403499,1200058
44547875,1200058
395267,1200058
15931596,1200058
17660363,1200058
52443393,1200058
803212,1200058
339861,1200058
5438201,1200058
1832427,1200057
1698915,1200057
1586218,1200057
775006,1200057
6093696,1200057
494452,1200057
6061627,1200057
15339678,1200057
1322094,1200057
1211283,1200057
689787732,1200057
34472933,1200057
1706518,1200057
1819297,1200057
6077764,1200057
7915696,1200057
6061605,1200057
1549881,1200057
862707,1200057
6163337,1200057
9782460,1200057
299982532,1200057
639092423,1200057
24403419,1200057
